ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace

2026-01-02T09:37:46+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Box::RayIntersectedFirst<1>/10000                          5.39 us         5.30 us       112000
Benchmarks::Box::RayIntersectedFirst<1>/100000                         26.5 us         26.7 us        26353
Benchmarks::Box::RayIntersectedAll<0>/100                             0.665 us        0.670 us      1120000
Benchmarks::Box::RayIntersectedAll<0>/1000                             1.93 us         1.93 us       373333
Benchmarks::Box::RayIntersectedAll<0>/10000                            10.5 us         10.3 us        64000
Benchmarks::Box::RayIntersectedAll<0>/100000                            104 us          106 us         5600
Benchmarks::Box::RayIntersectedAll<1>/100                             0.804 us        0.809 us      1120000
Benchmarks::Box::RayIntersectedAll<1>/1000                             1.69 us         1.69 us       407273
Benchmarks::Box::RayIntersectedAll<1>/10000                            6.59 us         6.70 us       112000
Benchmarks::Box::RayIntersectedAll<1>/100000                           48.0 us         48.8 us        11200
